# x_position concentration_percent
0.172648 -90.501594
0.173479 -89.959413
0.174311 -89.386606
0.175142 -88.782379
0.175974 -88.145984
0.176805 -87.476728
0.177636 -86.773971
0.178468 -86.037128
0.179299 -85.265680
0.180131 -84.459163
0.180962 -83.617177
0.181793 -82.739383
0.182625 -81.825497
0.183456 -80.875293
0.184288 -79.888592
0.185119 -78.865263
0.185950 -77.805213
0.186782 -76.708379
0.187613 -75.574725
0.188445 -74.404227
0.189276 -73.196871
0.190108 -71.952640
0.190939 -70.671505
0.191770 -69.353420
0.192602 -67.998309
0.193433 -66.606064
0.194265 -65.176536
0.195096 -63.709529
0.195927 -62.204798
0.196759 -60.662045
0.197590 -59.080922
0.198422 -57.461026
0.199253 -55.801907
0.200084 -54.103066
0.200916 -52.363968
0.201747 -50.584044
0.202579 -48.762701
0.203410 -46.899334
0.204241 -44.993333
0.205073 -43.044098
0.205904 -41.051049
0.206736 -39.013640
0.207567 -36.931371
0.208398 -34.803798
0.209230 -32.630548
0.210061 -30.411327
0.210893 -28.145929
0.211724 -25.834246
0.212556 -23.476273
0.213387 -21.072114
0.214218 -18.621984
0.215050 -16.126210
0.215881 -13.585233
0.216713 -10.999604
0.217544 -8.369978
0.218375 -5.697115
0.219207 -2.981867
0.220038 -0.225173
0.220870 2.571946
0.221701 5.408400
0.222532 8.283040
0.223364 11.194658
0.224195 14.142005
0.225027 17.123792
0.225858 20.138697
0.226689 23.185372
0.227521 26.262442
0.228352 29.368510
0.229184 32.502156
0.230015 35.661931
0.230847 38.846356
0.231678 42.053918
0.232509 45.283055
0.233341 48.532154
0.234172 51.799536
0.235004 55.083446
0.235835 58.382042
0.236666 61.693382
0.237498 65.015411
0.238329 68.345952
0.239161 71.682695
0.239992 75.023188
0.240823 78.364830
0.241655 81.704870
0.242486 85.040403
0.243318 88.368371
0.244149 91.685573
0.244980 94.988667
0.245812 98.274188
0.246643 101.538561
0.247475 104.778122
0.248306 107.989140
0.249138 111.167843
0.249969 114.310453
0.250800 117.413209
0.251632 120.472411
0.252463 123.484448
0.253295 126.445842
0.254126 129.353282
0.254957 132.203663
0.255789 134.994125
0.256620 137.722087
0.257452 140.385282
0.258283 142.981785
0.259114 145.510048
0.259946 147.968917
0.260777 150.357654
0.261609 152.675954
0.262440 154.923950
0.263271 157.102221
0.264103 159.211787
0.264934 161.254102
0.265766 163.231038
0.266597 165.144869
0.267428 166.998240
0.268260 168.794138
0.269091 170.535854
0.269923 172.226941
0.270754 173.871171
0.271586 175.472479
0.272417 177.034915
0.273248 178.562589
0.274080 180.059611
0.274911 181.530033
0.275743 182.977797
0.276574 184.406671
0.277405 185.820198
0.278237 187.221645
0.279068 188.613948
0.279900 189.999669
0.280731 191.380958
0.281562 192.759511
0.282394 194.136545
0.283225 195.512769
0.284057 196.888371
0.284888 198.263002
0.285719 199.635774
